Facility,Height
SMUC Active Learning Classroom 3-1,25px
SMUC Active Learning Classroom 3-2,50px
SMUC Active Learning Classroom 3-3,75px
SMUC Active Learning Classroom 4-1,100px
SMUC Active Learning Classroom 4-2,125px
SMUC Chatterbox 3-1,150px
SMUC Chatterbox 3-2,175px
SMUC Chatterbox 3-3,200px
SMUC Chatterbox 3-4,225px
SMUC Chatterbox 3-5,250px
SMUC Chatterbox 3-6,275px
SMUC Integrated Learning Studio,300px
SMUC Jamming Room,325px
SMUC Meeting Lounge 4-1 ,350px
SMUC Meeting Pod 4-1,375px
SMUC Meeting Pod 4-2,400px
SMUC Meeting Pod 4-3,425px
SMUC Meeting Pod 4-4,450px
SMUC Meeting Pod 4-5,475px
SMUC Meeting Pod 4-6,500px
SMUC Meeting Pod 4-7,525px
SMUC Study Booth 2-1,550px
SMUC Study Booth 2-2,575px
SMUC Study Booth 3-1,600px
SMUC Study Booth 3-2,625px
SMUC Study Booth 3-3,650px
SMUC Study Booth 3-4,675px
SMUC Study Booth 3-5,700px
SMUC Study Booth 3-6,725px
SMUC Study Booth 3-7,750px
SMUC Study Booth 4-1,775px
SMUC Study Booth 4-10,800px
SMUC Study Booth 4-2,825px
SMUC Study Booth 4-3,850px
SMUC Study Booth 4-4,875px
SMUC Study Booth 4-5,900px
SMUC Study Booth 4-6,925px
SMUC Study Booth 4-7,950px
SMUC Study Booth 4-8,975px
SMUC Study Booth 4-9,1000px
